bigram,count,PMI
winston churchill,6,15.639321864565435
spinal meningitis,6,15.194537021892538
fuel pump,7,14.69178928445957
gary benson,7,14.572207668706898
would-be hero,5,14.5018183408155
charles grondin,7,14.387783097569471
per cent,10,14.317393769678073
strapping tape,5,14.153895037395193
las vegas,13,14.054359363844279
concentric circles,6,13.976356851843006
alan purinton,6,13.914429102699803
iced tea,8,13.831966942507831
record player,6,13.831966942507831
cash register,6,13.639321864565435
pressure gauge,5,13.639321864565435
jogging shorts,6,13.551859023315096
christ's sake,8,13.442924651761931
presidential suite,19,13.368924070318155
ski mask,6,13.317393769678072
fir needles,7,13.243736727952763
