ngram,count,rate_per_10000
had been,317,32.71076256320298
would have,99,10.215664018161181
did not,94,9.699721390981322
would be,87,8.977401712929522
all right,86,8.87421318749355
have been,76,7.842327933133836
his mind,71,7.326385305953978
his own,71,7.326385305953978
his eyes,70,7.223196780518006
pet sematary,66,6.81044267877412
his head,62,6.397688577030234
there were,57,5.8817459498503775
if had,56,5.778557424414405
who had,56,5.778557424414405
could have,55,5.675368898978434
his hands,53,5.468991848106491
his face,52,5.365803322670519
up there,51,5.262614797234547
his mouth,49,5.056237746362605
had gone,47,4.849860695490661
