ngram,count,rate_per_10000
back over his shoulder,18,0.8788075557920741
grows what can tends,8,0.39058113590758853
man grows what can,8,0.39058113590758853
soil man's heart stonier,8,0.39058113590758853
there had been no,8,0.39058113590758853
looked back over his,7,0.3417584939191399
timmy baterman had been,7,0.3417584939191399
had no idea how,6,0.2929358519306914
handkerchief out his back,6,0.2929358519306914
his handkerchief out his,6,0.2929358519306914
old micmac burying ground,6,0.2929358519306914
out his back pocket,6,0.2929358519306914
red death held sway,6,0.2929358519306914
there would be no,6,0.2929358519306914
will be all right,6,0.2929358519306914
death held sway over,5,0.2441132099422428
from his back pocket,5,0.2441132099422428
held sway over all,5,0.2441132099422428
looked over his shoulder,5,0.2441132099422428
there had been some,5,0.2441132099422428
