ngram,count,rate_per_10000
micmac burying ground,23,1.8025219633382707
oz gweat tewwible,15,1.1755578021771331
little god swamp,12,0.9404462417417064
man grows tends,8,0.6269641611611376
man's heart stonier,8,0.6269641611611376
soil man's heart,8,0.6269641611611376
took handkerchief pocket,7,0.5485936410159954
death held sway,6,0.4702231208708532
high country investments,6,0.4702231208708532
long time ago,6,0.4702231208708532
men white coats,6,0.4702231208708532
oh dear god,6,0.4702231208708532
old micmac burying,6,0.4702231208708532
red death held,6,0.4702231208708532
set timer ahead,6,0.4702231208708532
st elmo's fire,6,0.4702231208708532
death victor pascow,5,0.39185260072571104
don't want talk,5,0.39185260072571104
end concrete ring,5,0.39185260072571104
half dozen times,5,0.39185260072571104
